ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism	sample_id
erm(56)	3007654	protein homolog model	CARD	1	100.0	no data	no data	Trueperella pyogenes	6.0	0.0	6.0	62.92	504.0	124.17	0	0	0	0				801	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic	antibiotic target alteration	ERR1713331
aadT	3007669	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	71.0	0.0	71.0	100.0	1515.0	180.77	0	0	0	0				1515	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1713331
Clostridioides difficile nimB	3007671	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	6.0	0.0	6.0	17.31	81.0	56.0	0	0	0	0				468	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation	ERR1713331
SIE-1	3007846	protein homolog model	CARD	1	100.0	no data	no data	Sphingobium indicum	5.0	0.0	5.0	31.39	290.0	120.8	0	0	0	0				924	SIE beta-lactamase	carbapenem; cephalosporin	antibiotic inactivation	ERR1713331
IreK	3007678	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	22.0	0.0	22.0	52.94	1142.0	146.14	0	0	0	0				2157	Serine/threonine kinases	cephalosporin	reduced permeability to antibiotic	ERR1713331
RATA-1	3007801	protein homolog model	CARD	1	100.0	no data	no data	Riemerella anatipestifer	3.0	0.0	3.0	7.87	72.0	98.33	0	0	0	0				915	RATA beta-lactamase	carbapenem	antibiotic inactivation	ERR1713331
MdtQ	3007682	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	15.0	0.0	15.0	78.68	1133.0	138.0	0	0	0	0				1440	Outer Membrane Porin (Opr)	monobactam; carbapenem; cephalosporin; penicillin beta-lactam	reduced permeability to antibiotic	ERR1713331
GES-49	3007827	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas veronii	10.0	0.0	10.0	50.93	440.0	192.4	0	0	0	0				864	GES beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
RATA-2	3007802	protein homolog model	CARD	1	100.0	no data	no data	Riemerella anatipestifer	3.0	0.0	3.0	44.04	403.0	184.0	0	0	0	0				915	RATA beta-lactamase	carbapenem	antibiotic inactivation	ERR1713331
CARB-58	3007837	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	20.0	0.0	20.0	77.07	763.0	156.6	0	0	0	0				990	CARB beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
CHM-1	3007855	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium sp.	11.0	0.0	11.0	29.25	222.0	107.09	0	0	0	0				759	CHM beta-lactamase	carbapenem; cephalosporin	antibiotic inactivation	ERR1713331
tet(65)	3007838	protein homolog model	CARD	1	100.0	no data	no data	Corynebacterium sp.	2.0	0.0	2.0	2.52	29.0	56.0	0	0	0	0				1152	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1713331
RSA1-1	3004444	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	1.0	0.0	1.0	17.6	151.0	199.0	0	0	0	0				858	RSA beta-lactamase	carbapenem; cephalosporin	antibiotic inactivation	ERR1713331
ADC-277	3007993	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	624.0	0.0	624.0	14.7	172.0	126.74	0	0	0	0				1170	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation	ERR1713331
AIM-2	3008073	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	16.0	0.0	16.0	76.32	696.0	134.5	0	0	0	0				912	AIM beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
CME-3	3008084	protein homolog model	CARD	1	100.0	no data	no data	Elizabethkingia anophelis	21.0	0.0	21.0	36.44	328.0	63.57	0	0	0	0				900	CME beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
CTX-M-254	3008143	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.0	0.0	2.0	26.37	231.0	201.0	0	0	0	0				876	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713331
FONA-10	3008173	protein homolog model	CARD	1	100.0	no data	no data	Serratia fonticola	2.0	0.0	2.0	2.59	23.0	34.0	0	0	0	0				888	FONA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
FOX-19	3008181	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas allosaccharophila	4.0	0.0	4.0	32.72	376.0	156.75	0	0	0	0				1149	FOX beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713331
FOX-21	3008183	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas allosaccharophila	4.0	0.0	4.0	26.89	309.0	159.0	0	0	0	0				1149	FOX beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713331
IMI-27	3008214	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	10.0	0.0	10.0	5.23	46.0	42.8	0	0	0	0				879	IMI beta-lactamase	carbapenem	antibiotic inactivation	ERR1713331
IND-18	3008226	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium indologenes	3.0	0.0	3.0	28.4	207.0	71.67	0	0	0	0				729	IND beta-lactamase	carbapenem	antibiotic inactivation	ERR1713331
MOX-17	3008385	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas caviae	1.0	0.0	1.0	11.26	128.0	169.0	0	0	0	0				1137	MOX beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
MOX-19	3008387	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas caviae	2.0	0.0	2.0	20.92	241.0	201.0	0	0	0	0				1152	MOX beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
MUN-1	3008394	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.0	0.0	2.0	4.95	45.0	56.5	0	0	0	0				909	MUN beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713331
OXA-1006	3008427	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter johnsonii	108.0	0.0	108.0	91.06	754.0	119.19	0	0	0	0				828	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-1016	3008437	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas indoloxydans	2.0	0.0	2.0	38.37	297.0	167.0	0	0	0	0				774	OXA beta-lactamase; OXA-372-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-1037	3008458	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas caviae	2.0	0.0	2.0	25.91	206.0	201.0	0	0	0	0				795	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-1041	3008460	protein homolog model	CARD	1	100.0	no data	no data	Citrobacter freundii	7.0	0.0	7.0	50.94	405.0	114.57	0	0	0	0				795	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-1044	3008463	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter johnsonii	220.0	0.0	220.0	100.0	825.0	190.33	0	0	0	0				825	OXA beta-lactamase; OXA-211-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-1046	3008465	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	2.0	0.0	2.0	30.09	241.0	189.0	0	0	0	0				801	OXA beta-lactamase; OXA-10-like beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-1051	3008470	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter calcoaceticus	28.0	0.0	28.0	11.07	92.0	55.86	0	0	0	0				831	OXA beta-lactamase; OXA-679-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-1106	3008524	protein homolog model	CARD	1	100.0	no data	no data	Brachyspira pulli	5.0	0.0	5.0	13.46	109.0	60.8	0	0	0	0				810	OXA beta-lactamase; OXA-63-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-1110	3008528	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter lwoffii	1.0	0.0	1.0	18.17	151.0	199.0	0	0	0	0				831	OXA beta-lactamase; OXA-134-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-1108	3008526	protein homolog model	CARD	1	100.0	no data	no data	Aliarcobacter butzleri	2.0	0.0	2.0	20.73	158.0	124.0	0	0	0	0				762	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-1122	3008540	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	1022.0	0.0	1022.0	18.78	151.0	98.19	0	0	0	0				804	OXA beta-lactamase; OXA-51-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-1136	3008554	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	3.0	0.0	3.0	19.69	163.0	185.67	0	0	0	0				828	OXA beta-lactamase; OXA-2-like beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-1157	3008575	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas veronii	6.0	0.0	6.0	29.18	232.0	83.5	0	0	0	0				795	OXA beta-lactamase; OXA-12-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-1153	3008571	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas taiwanensis	4.0	0.0	4.0	28.18	224.0	120.0	0	0	0	0				795	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-1175	3008593	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	63.0	0.0	63.0	100.0	828.0	193.63	0	0	0	0				828	OXA beta-lactamase; OXA-10-like beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-1160	3008578	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas caviae	8.0	0.0	8.0	28.3	225.0	95.62	0	0	0	0				795	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-1162	3008580	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas veronii	10.0	0.0	10.0	26.29	209.0	63.0	0	0	0	0				795	OXA beta-lactamase; OXA-12-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-1190	3008606	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter bereziniae	6.0	0.0	6.0	50.66	421.0	132.17	0	0	0	0				831	OXA beta-lactamase; OXA-229-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-1208	3008620	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter sp.	16.0	0.0	16.0	65.82	543.0	154.19	0	0	0	0				825	OXA beta-lactamase; OXA-211-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-1193	3008608	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter bereziniae	2.0	0.0	2.0	36.22	301.0	137.0	0	0	0	0				831	OXA beta-lactamase; OXA-229-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-1238	3008648	protein homolog model	CARD	1	100.0	no data	no data	Achromobacter sp.	10.0	0.0	10.0	14.56	121.0	50.6	0	0	0	0				831	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-1233	3008643	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas oleovorans	1.0	0.0	1.0	18.73	150.0	195.0	0	0	0	0				801	OXA beta-lactamase; OXA-10-like beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-1261	3008671	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter faecalis	4.0	0.0	4.0	17.14	144.0	87.0	0	0	0	0				840	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-1260	3008670	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter faecalis	1.0	0.0	1.0	17.98	151.0	199.0	0	0	0	0				840	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-944	3008726	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter guillouiae	53.0	0.0	53.0	100.0	846.0	130.53	0	0	0	0				846	OXA beta-lactamase; OXA-274-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-956	3008733	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas salmonicida	9.0	0.0	9.0	61.26	487.0	119.67	0	0	0	0				795	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-958	3008735	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas allosaccharophila	6.0	0.0	6.0	30.31	241.0	89.33	0	0	0	0				795	OXA beta-lactamase; OXA-12-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-959	3008736	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas allosaccharophila	9.0	0.0	9.0	35.47	282.0	94.44	0	0	0	0				795	OXA beta-lactamase; OXA-12-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-999	3008776	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter gerneri	4.0	0.0	4.0	4.52	38.0	42.5	0	0	0	0				840	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXY-11-1	3008785	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella oxytoca	4.0	0.0	4.0	9.93	87.0	90.25	0	0	0	0				876	OXY beta-lactamase	monobactam; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXY-12-1	3008786	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella sp.	4.0	0.0	4.0	30.81	269.0	158.5	0	0	0	0				873	OXY beta-lactamase	monobactam; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXY-6-7	3008815	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella grimontii	2.0	0.0	2.0	32.88	288.0	200.0	0	0	0	0				876	OXY beta-lactamase	monobactam; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXY-6-11	3008813	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella grimontii	4.0	0.0	4.0	10.62	93.0	53.25	0	0	0	0				876	OXY beta-lactamase	monobactam; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
PDC-483	3008830	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.0	0.0	1.0	2.01	24.0	58.0	0	0	0	0				1194	PDC beta-lactamase	monobactam; carbapenem; cephalosporin	antibiotic inactivation	ERR1713331
PEN-A1	3008997	protein homolog model	CARD	1	100.0	no data	no data	Burkholderia multivorans	2.0	0.0	2.0	5.94	54.0	45.0	0	0	0	0				909	PEN-A beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
PEN-B1	3009023	protein homolog model	CARD	1	100.0	no data	no data	Burkholderia cenocepacia	5.0	0.0	5.0	41.43	389.0	85.0	0	0	0	0				939	PEN-B beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
RAHN-4	3009037	protein homolog model	CARD	1	100.0	no data	no data	Rahnella aquatilis	2.0	0.0	2.0	21.28	189.0	172.5	0	0	0	0				888	RAHN beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713331
RAA-1	3009035	protein homolog model	CARD	1	100.0	no data	no data	Riemerella anatipestifer	16.0	0.0	16.0	65.06	568.0	97.62	0	0	0	0				873	RAA beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713331
RSC1-1	3009041	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	21.0	0.0	21.0	64.65	770.0	156.1	0	0	0	0				1191	RSC1 beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713331
RAHN-3	3009036	protein homolog model	CARD	1	100.0	no data	no data	Rahnella aquatilis	6.0	0.0	6.0	58.9	523.0	200.0	0	0	0	0				888	RAHN beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713331
VEB-35	3009087	protein homolog model	CARD	1	100.0	no data	no data	Providencia rettgeri	4.0	0.0	4.0	36.56	329.0	191.5	0	0	0	0				900	VEB beta-lactamase	monobactam; cephalosporin	antibiotic inactivation	ERR1713331
RAHN-5	3009038	protein homolog model	CARD	1	100.0	no data	no data	Rahnella aquatilis	1.0	0.0	1.0	5.29	47.0	150.0	0	0	0	0				888	RAHN beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713331
AAC(3)-Ib/AAC(6')-Ib3 bifunctional protein	3002600	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.0	0.0	1.0	15.02	151.0	201.0	0	0	0	0				1005	aminoglycoside bifunctional resistance protein	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
CblA-1	3002999	protein homolog model	CARD	1	100.0	no data	no data	mixed culture	2.0	0.0	2.0	28.06	250.0	192.5	0	0	0	0				891	CblA beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713332
dfrF	3002867	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	4.0	0.0	4.0	86.26	427.0	185.75	0	0	0	0				495	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	ERR1713332
CARB-5	3002244	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter calcoaceticus	14.0	0.0	14.0	46.27	415.0	186.57	0	0	0	0				897	CARB beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713332
OXA-212	3001711	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter johnsonii	69.0	0.0	69.0	71.88	593.0	187.59	0	0	0	0				825	OXA beta-lactamase; OXA-211-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713332
lnuA	3002835	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus haemolyticus	21.0	0.0	21.0	35.8	174.0	75.81	0	0	0	0				486	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation	ERR1713332
msrE	3003109	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	3555.0	0.0	3555.0	100.0	1476.0	196.16	0	0	0	0				1476	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection	ERR1713332
FosA2	3002804	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	3.0	0.0	3.0	42.02	179.0	146.33	0	0	0	0				426	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation	ERR1713332
AAC(3)-Ia	3002528	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	12.0	0.0	12.0	90.97	423.0	167.25	0	0	0	0				465	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	ERR1713332
gadX	3000508	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	13.0	0.0	13.0	70.79	584.0	174.38	0	0	0	0				825	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam	antibiotic efflux	ERR1713332
TLA-2	3003203	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	2.0	0.0	2.0	31.26	286.0	201.0	0	0	0	0				915	TLA beta-lactamase	monobactam; cephalosporin	antibiotic inactivation	ERR1713332
mdtP	3003550	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	18.0	0.0	18.0	94.34	1384.0	190.0	0	0	0	0				1467	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1713332
mdtF	3000796	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	53.0	0.0	53.0	82.63	2573.0	170.17	0	0	0	0				3114	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam	antibiotic efflux	ERR1713332
catB3	3002676	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	7.0	0.0	7.0	70.62	447.0	190.71	0	0	0	0				633	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	ERR1713332
cpxA	3000830	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	49.0	0.0	49.0	100.0	1374.0	161.84	0	0	0	0				1374	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	ERR1713332
adeF	3000777	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	2.0	0.0	2.0	9.43	300.0	126.0	0	0	0	0				3180	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	ERR1713332
vgaALC	3002830	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus haemolyticus	3.0	0.0	3.0	2.74	43.0	74.33	0	0	0	0				1569	vga-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic	antibiotic target protection	ERR1713332
